uuid,adm4_pcode,date,freq,pct_area_flood_hazard_100yr_low,pct_area_flood_hazard_100yr_med,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_low,pct_area_flood_hazard_25yr_med,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_low,pct_area_landslide_hazard_med,pct_area_landslide_hazard_high
PNHZD000048,PH072230014,2015-01-01,S,6.2414,7.4533,9.1363,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.6683,0.0
PNHZD000049,PH072230006,2015-01-01,S,21.7246,4.8587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00004A,PH072230011,2015-01-01,S,7.1816,10.2922,9.695,0.0,0.0,0.0,0.0,0.0,0.0,4.0168,6.2039,1.4096
PNHZD00004B,PH072230024,2015-01-01,S,9.0076,7.6394,2.2985,0.0,0.0,0.0,0.0,0.0,0.0,10.9474,21.8352,1.8569
PNHZD00004C,PH072230025,2015-01-01,S,9.8841,23.7746,38.5303,0.0,0.0,0.0,0.0,0.0,0.0,1.4241,0.2523,0.0
PNHZD00004D,PH072230013,2015-01-01,S,26.0936,5.6427,0.7714,0.0,0.0,0.0,0.0,0.0,0.0,0.1659,0.2601,0.0
PNHZD00004E,PH072230026,2015-01-01,S,28.0023,14.772,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0
PNHZD00004F,PH072230003,2015-01-01,S,27.129,10.0623,0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000050,PH072230009,2015-01-01,S,9.1001,3.3734,4.6139,0.0,0.0,0.0,0.0,0.0,0.0,0.4715,0.2541,0.0
PNHZD000051,PH072230027,2015-01-01,S,12.5203,21.6809,3.8599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000052,PH072230008,2015-01-01,S,2.7,5.4753,1.6005,0.0,0.0,0.0,0.0,0.0,0.0,12.4925,28.9138,0.0
PNHZD000053,PH072230022,2015-01-01,S,15.7135,45.5713,0.9995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000054,PH072230018,2015-01-01,S,12.4675,37.5041,0.0751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000055,PH072230012,2015-01-01,S,24.7851,5.1761,0.1531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000056,PH072230007,2015-01-01,S,11.6759,21.2962,13.1175,0.0,0.0,0.0,0.0,0.0,0.0,0.9276,0.1426,0.0
PNHZD000057,PH072230004,2015-01-01,S,19.2503,24.397,11.3418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000058,PH072230021,2015-01-01,S,8.4596,9.7488,0.4862,0.0,0.0,0.0,0.0,0.0,0.0,1.0386,0.4467,0.0
PNHZD000059,PH072230019,2015-01-01,S,31.1449,28.8063,0.9649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00005A,PH072230005,2015-01-01,S,19.0255,18.1682,4.5647,0.0,0.0,0.0,0.0,0.0,0.0,0.7583,0.2311,0.0
PNHZD00005B,PH072230010,2015-01-01,S,23.5583,30.5708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00005C,PH072230020,2015-01-01,S,20.5728,19.7216,8.0926,0.0,0.0,0.0,0.0,0.0,0.0,0.0219,0.0,0.0
PNHZD00005D,PH072230017,2015-01-01,S,10.6638,23.3542,9.3605,0.0,0.0,0.0,0.0,0.0,0.0,0.7425,0.1108,0.0785
