adm4_pcode,adm4_en,adm3_pcode,adm3_en,adm2_pcode,adm2_en,adm1_pcode,adm1_en,brgy_total_area,uuid,date,freq,pct_area_flood_hazard_100yr_low,pct_area_flood_hazard_100yr_med,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_low,pct_area_flood_hazard_25yr_med,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_low,pct_area_landslide_hazard_med,pct_area_landslide_hazard_high
PH050506039,Bgy. 5 - Sagmin Pob. (Sagpon 2),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.053,PNHZD00002B,1/1/2015,S,9.4907,7.7651,14.4577,4.75,5.3522,13.2535,3.3927,5.2579,8.2935,0,0,0
PH050506027,Bgy. 3 - Em's Barrio East (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.0863,PNHZD00002C,1/1/2015,S,11.4106,5.5617,4.3222,8.5899,3.8599,3.6828,3.7362,3.8744,2.2195,0,0,0
PH050506044,Bgy. 67 - Bariis (Bgy. 46),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,15.8368,PNHZD00002D,1/1/2015,S,2.3515,4.7303,4.3538,0,0,0,0,0,0,6.7715,4.5406,0.5412
PH050506015,Bgy. 19 - Cabagñan,PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.1955,PNHZD00002E,1/1/2015,S,10.9535,27.5991,48.3154,12.3582,26.515,42.424,12.0232,29.9222,23.6977,0,0,0
PH050506077,Bgy. 60 - Lamba,PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,2.312,PNHZD00002F,1/1/2015,S,4.3695,4.5065,0.6262,0,0,0,0,0,0,15.5517,21.5638,10.6875
PH050506030,Bgy. 31 - Centro-Baybay (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.0981,PNHZD000030,1/1/2015,S,23.6398,45.7035,0,18.8998,33.4354,0,24.0536,7.4992,0,0.2549,0,0
PH050506032,Bgy. 33 - PNR-Peñaranda St.-Iraya (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.1554,PNHZD000031,1/1/2015,S,9.9431,74.962,11.0087,19.3791,66.1791,1.7691,25.7305,22.488,0,0,0,0
PH050506058,Bgy. 54 - Mabinit (Bgy. 59),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,3.291,PNHZD000032,1/1/2015,S,8.1045,2.6698,2.1112,1.6666,0.5764,0.1385,1.1474,0.4416,0.0929,0.684,0.4753,20.6579
PH050506067,Bgy. 32 - San Roque (Bgy. 66),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.2474,PNHZD000033,1/1/2015,S,13.37,40.8249,10.1249,16.5971,34.9572,3.4486,15.9041,12.1976,0.0481,0.1083,0.0202,0
PH050506005,Bgy. 1 - Em's Barrio (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.4291,PNHZD000034,1/1/2015,S,15.1336,4.8652,1.3342,12.5883,3.8812,0.938,9.9435,2.3884,0.3327,0,0,0
PH050506024,Bgy. 27 - Victory Village South (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.0721,PNHZD000035,1/1/2015,S,6.2894,33.7365,15.9188,6.9043,35.1365,9.9891,12.8023,28.0534,0,2.3526,7.6379,4.538
PH050506041,Bgy. 7 - Baño (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.0703,PNHZD000036,1/1/2015,S,11.1245,7.239,12.8978,5.1901,6.6569,10.912,4.4677,4.4571,6.4479,0,0,0
PH050506052,Bgy. 57 - Dap-dap (Bgy. 69),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.2278,PNHZD000037,1/1/2015,S,5.9091,23.215,9.049,7.0609,23.2467,4.8268,8.711,19.4243,0.5706,4.9885,13.3518,11.338
